time,lat,lon,depth,prochloro_abundance,synecho_abundance
2003-06-04,19.051,-36.46,49.8,243000,1910
2003-06-04,19.051,-36.46,74.9,191000,2260.7
2003-06-04,19.051,-36.46,99.8,135000,1105.8
2003-06-04,19.051,-36.46,122.7,39849,15.92
2003-06-04,19.051,-36.46,149.2,11847,14.72
2003-06-04,19.051,-36.46,174.4,64844,111.47
2003-06-04,19.051,-36.46,199.5,1877,6.18
2003-06-04,19.051,-36.46,248.7,9.09,3.03
2003-06-04,19.051,-36.46,299.3,12.18,6.09
2003-06-05,21.414,-35.8,8.1,180000,1858.8
2003-06-05,21.414,-35.8,20.1,184000,1933.1
2003-06-05,21.414,-35.8,29.9,191000,1646.5
2003-06-05,21.414,-35.8,53.1,186000,1619.3
2003-06-05,21.414,-35.8,101,111000,684.45
2003-06-05,21.414,-35.8,115.3,77963,128.39
2003-06-05,21.414,-35.8,131.5,44649,81.98
2003-06-05,21.414,-35.8,181.3,13611,12.53
2003-06-05,21.414,-35.8,201.5,1689.7,15.01
2003-06-05,21.414,-35.8,251,5.87,5.87
2003-06-05,21.414,-35.8,301.3,5.78,5.78
2003-06-05,22.232,-34.9,2.1,58500,1260.3
2003-06-05,22.232,-34.9,10.1,63332,1599.6
2003-06-05,22.232,-34.9,24.7,56820,1685.2
2003-06-05,22.232,-34.9,49.8,83631,2149.9
2003-06-05,22.232,-34.9,74.4,47617,566.49
2003-06-05,22.232,-34.9,99.7,123000,751.9
2003-06-05,22.232,-34.9,124.5,58234,34.9
2003-06-05,22.232,-34.9,149.4,17607,11.43
2003-06-05,22.232,-34.9,174.7,2181.5,2.97
2003-06-05,22.232,-34.9,199.8,0,NA
2003-06-05,22.232,-34.9,249,0,NA
2003-06-05,22.232,-34.9,299.9,0,NA
2003-06-06,24.329,-32.57,7.2,116000,1987.7
2003-06-06,24.329,-32.57,18.7,110000,2187.6
2003-06-06,24.329,-32.57,34.7,112000,2216.4
2003-06-06,24.329,-32.57,60.8,134000,2819.2
2003-06-06,24.329,-32.57,121.7,NA,355.36
2003-06-06,24.329,-32.57,122.7,133000,346.99
2003-06-06,24.329,-32.57,160.7,44654,72.41
2003-06-06,24.329,-32.57,190.8,13266,12.22
2003-06-06,24.329,-32.57,220.8,3991.1,6.36
2003-06-06,24.329,-32.57,250.7,408.97,6.01
2003-06-06,24.329,-32.57,300.6,20.89,5.97
2003-06-06,24.329,-32.57,2.2,81274,2714.5
2003-06-06,24.329,-32.57,10.2,79998,2243.3
2003-06-06,24.329,-32.57,25.5,86910,2110
2003-06-06,24.329,-32.57,49.7,131000,2976.9
2003-06-06,24.329,-32.57,75.4,114000,2762.6
2003-06-06,24.329,-32.57,100.1,130000,1308.3
2003-06-06,24.329,-32.57,125.4,125000,897.68
2003-06-06,24.329,-32.57,150.2,39694,36.17
2003-06-06,24.329,-32.57,175.8,11911,11.94
2003-06-06,24.329,-32.57,200.3,2742.5,12.02
2003-06-06,24.329,-32.57,250.4,0,2.71
2003-06-06,24.329,-32.57,301.5,0,5.58
2003-06-07,26.461,-30.16,8.2,42525,1505.5
2003-06-07,26.461,-30.16,20.9,54643,1989.4
2003-06-07,26.461,-30.16,36.6,66977,2201.1
2003-06-07,26.461,-30.16,66.5,96523,1979.2
2003-06-07,26.461,-30.16,132.8,114000,1094.6
2003-06-07,26.461,-30.16,147,33058,194.65
2003-06-07,26.461,-30.16,152.2,69214,71.94
2003-06-07,26.461,-30.16,190.4,11712,2.9
2003-06-07,26.461,-30.16,225.6,103.35,2.87
2003-06-07,26.461,-30.16,301,11.27,19.73
2003-06-07,27.212,-29.3,2,31169,9.2
2003-06-07,27.212,-29.3,11.9,47638,1555.2
2003-06-07,27.212,-29.3,51.4,69185,2001.6
2003-06-07,27.212,-29.3,77.1,99724,2515.1
2003-06-07,27.212,-29.3,101.5,115000,2381.7
2003-06-07,27.212,-29.3,119.8,121000,1580
2003-06-07,27.212,-29.3,130.1,121000,325.99
2003-06-07,27.212,-29.3,176.9,78582,50.51
2003-06-07,27.212,-29.3,201.8,14245,8.87
2003-06-07,27.212,-29.3,251.7,2312.1,6.05
2003-06-07,27.212,-29.3,302,12.21,0
2003-06-08,30.291,-25.72,2.2,8.76,2731.1
2003-06-08,30.291,-25.72,10.5,6.1,1907.7
2003-06-08,30.291,-25.72,25.7,195.25,2281.7
2003-06-08,30.291,-25.72,50.6,350.56,3479.8
2003-06-08,30.291,-25.72,75.5,5600,4841.5
2003-06-08,30.291,-25.72,103,43301,3098.5
2003-06-08,30.291,-25.72,125.3,112000,332.75
2003-06-08,30.291,-25.72,150.4,5600,73.8
2003-06-08,30.291,-25.72,174.9,351,56.85
2003-06-08,30.291,-25.72,200.4,195,11.32
2003-06-08,30.291,-25.72,250.2,6,3.05
2003-06-08,30.291,-25.72,301,9,0
2003-06-09,32.681,-22.87,7.9,18231,3735.1
2003-06-09,32.681,-22.87,19.9,29415,4268.1
2003-06-09,32.681,-22.87,36.1,40205,4152.8
2003-06-09,32.681,-22.87,62.4,31837,4637
2003-06-09,32.681,-22.87,100.9,166000,3306.8
2003-06-09,32.681,-22.87,125.9,96671,787.7
2003-06-09,32.681,-22.87,136.3,70107,653.46
2003-06-09,32.681,-22.87,165.8,14966,94.32
2003-06-09,32.681,-22.87,219,328.19,21.08
2003-06-09,32.681,-22.87,301.6,50.85,16.95
2003-06-09,33.624,-21.71,2,NA,3237.9
2003-06-09,33.624,-21.71,10.5,NA,3365.8
2003-06-09,33.624,-21.71,49.9,NA,2526.8
2003-06-09,33.624,-21.71,75.2,125000,4391.6
2003-06-09,33.624,-21.71,94.9,163000,3683.6
2003-06-09,33.624,-21.71,125.1,23947,246.63
2003-06-09,33.624,-21.71,149.9,146.08,23.85
2003-06-09,33.624,-21.71,200.3,33.66,24.48
2003-06-09,33.624,-21.71,250.3,5.98,14.95
2003-06-09,33.624,-21.71,300.5,5.93,8.9
2003-06-11,41.492,-20.02,1.9,16664,23575
2003-06-11,41.492,-20.02,17.2,26557,30214
2003-06-11,41.492,-20.02,23,21158,31087
2003-06-11,41.492,-20.02,48.7,8406.8,10492
2003-06-11,41.492,-20.02,75.7,1276.4,1946.3
2003-06-11,41.492,-20.02,101,304.52,832.95
2003-06-11,41.492,-20.02,126,30.33,464.04
2003-06-11,41.492,-20.02,150.8,88.06,680.99
2003-06-11,41.492,-20.02,176.1,32.59,447.43
2003-06-11,41.492,-20.02,201.1,20.74,322.92
2003-06-11,41.492,-20.02,251.4,26.16,238.38
2003-06-11,41.492,-20.02,301.5,142.79,145.71
2003-06-12,45.65,-18.53,27,650.72,15869
2003-06-12,45.65,-18.53,47.3,272.02,10390
2003-06-12,45.65,-18.53,75.9,62.31,2617.2
2003-06-12,45.65,-18.53,101,47.69,1463.5
2003-06-12,45.65,-18.53,125.3,59.91,282.45
2003-06-12,45.65,-18.53,150.3,28.98,240.57
2003-06-12,45.65,-18.53,174.9,50.01,220.62
2003-06-12,45.65,-18.53,200,29.34,176.03
2003-06-12,45.65,-18.53,248.1,73.7,244.67
2003-06-12,45.65,-18.53,299.9,69.96,131.18
2003-06-13,47.688,-12.68,1.4,494.04,10751
2003-06-13,47.688,-12.68,3.1,620.92,10856
2003-06-13,47.688,-12.68,22,893.11,16125
2003-06-13,47.688,-12.68,34.7,1044.2,6468.6
2003-06-13,47.688,-12.68,75.4,47.1,147.18
